,y
2021-12-16,162.16
2021-12-17,158.42
2021-12-20,153.36
2021-12-21,158.02
2021-12-22,160.82
2021-12-23,162.4
2021-12-27,163.45
2021-12-28,162.63
2021-12-29,163.21
2021-12-30,163.14
2021-12-31,164.95
2022-01-03,166.03
2022-01-04,172.21
2022-01-05,168.28
2022-01-06,174.12
2022-01-07,169.47
2022-01-10,165.07
2022-01-11,159.7
2022-01-12,159.79
2022-01-13,158.57
2022-01-14,152.6
2022-01-18,149.56
2022-01-19,145.88
2022-01-20,142.0
2022-01-21,140.19
2022-01-29,233.72060577806366
2022-01-30,233.8870491094979
2022-01-31,234.1007308301424
2022-02-01,234.46814284259705
2022-02-02,234.63538284995698
2022-02-03,234.8333411681849
2022-02-04,235.01678519431124
2022-02-05,235.42848709365555
2022-02-06,235.79500942498058
2022-02-07,236.2196034437834
2022-02-08,236.80221676093254
2022-02-09,237.18221114325715
2022-02-10,237.583709017777
2022-02-11,237.95483892372678
2022-02-12,238.53202160725291
2022-02-13,239.03590767725666
2022-02-14,239.56441792480047
2022-02-15,240.21287959820023
2022-02-16,240.61685637149552
2022-02-17,240.99758792962493
2022-02-18,241.3013072504905
2022-02-19,241.76357564031287
2022-02-20,242.10524536563724
2022-02-21,242.4255004956335
2022-02-22,242.82196935257917
2022-02-23,242.9335070014498
2022-02-24,242.98556496080656
2022-02-25,242.92941800355985
2022-02-26,243.00639037295687
