Date,AAPL,ADBE,APTV,EPAM,FRT,MELI,MO,NEM,SWK,TTD
2019-01-16,38.73500061,241.9499969,70.34999847,135.1699982,125.0299988,344.9200134,47.20000076,31.55999947,129.6300049,13.05099964
2019-01-17,38.96500015,244.3999939,71.13999939,136.2200012,125.5999985,342.230011,47.06000137,31.62000084,132.6499939,13.31799984
2019-01-18,39.20500183,247.5099945,72.93000031,138.5899963,125.9100037,350.6600037,48.31000137,31.77000046,136.8800049,13.89900017
2019-01-22,38.32500076,243.8500061,71.72000122,136.4600067,126.3000031,330.8599854,44.97000122,32.09999847,115.6900024,13.40200043
2019-01-23,38.47999954,245.1399994,70.25,135.3500061,126.0999985,328.8800049,44.70000076,32.20000076,118.5500031,13.38399982
2019-01-24,38.17499924,242.5599976,71.81999969,135.8699951,126.6900024,339.1499939,43.33000183,32.18000031,118.2399979,13.50399971
2019-01-25,39.43999863,244.9499969,73,140.8000031,128.4600067,342.8800049,44.24000168,33.15999985,120.5800018,13.77799988
2019-01-28,39.07500076,241.8500061,73.02999878,139.3399963,129.4900055,355,45.29999924,32.90999985,121.2099991,13.56900024
2019-01-29,38.66999817,238.2700043,72.43000031,138.8099976,130.3600006,351.230011,45.90999985,33.54000092,123.3300018,13.45600033
2019-01-30,41.3125,242.6699982,73.79000092,141.1000061,131.4400024,362.019989,47.79999924,33.70999908,124.4800034,14.00500011
2019-01-31,41.61000061,247.8200073,79.12999725,141.4799957,132.5700073,364,49.34999847,34.11000061,126.4400024,14.26799965
2019-02-01,41.63000107,247.3800049,78.01999664,144.1300049,132.1699982,364.6600037,49.20000076,33.84000015,127.7900009,14.52600002
2019-02-04,42.8125,254.7400055,78.58999634,144.4700012,134.3200073,368.0799866,49.11000061,34.15999985,128.7899933,15.16699982
2019-02-05,43.54499817,254.8200073,78.66000366,145.25,134.2299957,363.25,49.04000092,34.11999893,130.2599945,15.51599979
2019-02-06,43.56000137,254.3500061,78.27999878,146.3099976,133.4199982,358.9200134,49.27000046,33.97999954,130.2299957,14.75
2019-02-07,42.73500061,253.7400055,76.22000122,144.3999939,135.5899963,358.2000122,48.72000122,33.72999954,128.0500031,14.20400047
2019-02-08,42.60250092,257,75.69000244,146.4100037,136.5200043,347.8200073,48.84000015,33.84000015,126.8199997,14.61800003
2019-02-11,42.35749817,258.3900146,76.05999756,149.2100067,136.4799957,350.8299866,48.88999939,33.65000153,128.3399963,14.89000034
2019-02-12,42.72249985,261.3699951,77.16000366,148.1900024,135.0800018,364,49.65999985,33.38999939,132.3099976,15.29800034
2019-02-13,42.54499817,260.230011,79.51999664,149.5800018,135.5800018,360.5700073,49,33.22999954,134.2799988,15.13399982
2019-02-14,42.70000076,260.1400146,79.65000153,154.0899963,134.2200012,359.8399963,49.13999939,33.11000061,133.0800018,15.34300041
2019-02-15,42.60499954,259.4500122,80.94999695,154.6900024,135.4799957,363.1000061,48.74000168,33.24000168,136.3899994,15.81200027
2019-02-19,42.73249817,257.8099976,81.30000305,155.7599945,135.3300018,367.2099915,48.99000168,34.52999878,136.5599976,16.17000008
2019-02-20,43.00749969,258.1000061,81.70999908,155.8899994,133.6300049,368.3399963,50.50999832,35.38999939,136.8200073,15.00899982
2019-02-21,42.76499939,257.7600098,81.12000275,156,134.4600067,364.980011,50.36999893,35.40999985,137.5399933,15.04899979
2019-02-22,43.24250031,258.8999939,82.36000061,158.6100006,135.1600037,374.0599976,51.5,36.47999954,138.9199982,19.77300072
2019-02-25,43.55749893,258.6199951,83.05000305,159.4799957,134.2200012,375.0899963,51.84000015,36.09999847,137.3899994,19.76199913
2019-02-26,43.58250046,261.2200012,82.76999664,159.6799927,133.7400055,369.4899902,52.09999847,34.95000076,135.8999939,19.54999924
2019-02-27,43.71749878,262.8999939,83.30999756,159.8699951,133.1199951,446.6799927,52.31999969,34.02000046,136.4600067,19.5
2019-02-28,43.28749847,262.5,83.11000061,161.7799988,133.5899963,458.7900085,52.40999985,34.11999893,132.4299927,19.75399971
