,y
2021-04-22,448.52
2021-04-23,458.15
2021-04-26,458.83
2021-04-27,458.84
2021-04-28,459.73
2021-04-29,459.0
2021-04-30,457.75
2021-05-03,459.58
2021-05-04,458.52
2021-05-05,461.28
2021-05-06,458.38
2021-05-07,460.2
2021-05-10,460.01
2021-05-11,454.09
2021-05-12,441.16
2021-05-13,446.89
2021-05-14,451.56
2021-05-17,447.74
2021-05-18,446.48
2021-05-19,451.24
2021-05-20,472.26
2021-05-21,477.22
2021-05-24,484.42
2021-05-25,479.27
2021-05-26,477.84
2021-05-27,471.83
2021-05-28,477.6
2021-06-01,478.59
2021-06-02,481.16
2021-06-03,474.99
2021-06-04,482.3
2021-06-07,487.67
2021-06-08,489.17
2021-06-09,492.98
2021-06-10,505.63
2021-06-11,508.46
2021-06-14,508.21
2021-06-15,500.8
2021-06-16,503.87
2021-06-17,514.6
2021-06-18,510.52
2021-06-21,518.54
2021-06-22,519.16
2021-06-23,515.88
2021-06-24,518.53
2021-06-25,523.15
2021-06-28,521.06
2021-06-29,519.21
2021-06-30,510.96
2021-07-01,510.24
2021-07-02,516.28
2021-07-06,519.76
2021-07-07,527.05
2021-07-08,515.2
2021-07-09,527.82
2021-07-12,534.59
2021-07-13,536.29
2021-07-14,541.93
2021-07-15,538.35
2021-07-16,527.71
2021-07-19,534.54
2021-07-20,545.15
2021-07-21,548.24
2021-07-22,552.3
2021-07-23,557.36
2021-07-26,553.69
2021-07-27,553.85
2021-07-28,552.96
2021-07-29,556.14
2021-07-30,559.8
2021-08-02,558.4
2021-08-03,571.21
2021-08-04,569.08
2021-08-05,589.66
2021-08-06,598.02
2021-08-09,608.75
2021-08-10,604.22
2021-08-11,600.0
2021-08-12,602.0
2021-08-13,607.85
2021-08-16,618.97
2021-08-17,620.33
2021-08-18,622.0
2021-08-19,619.56
2021-08-20,630.11
2021-08-23,626.63
2021-08-24,633.32
2021-08-25,620.0
2021-08-26,622.34
2021-08-27,629.1
2021-08-30,636.3
2021-08-31,632.81
2021-09-01,631.25
2021-09-02,633.12
2021-09-03,643.39
2021-09-07,627.12
2021-09-08,629.32
2021-09-09,626.89
2021-09-10,627.01
2021-09-13,617.66
2021-09-14,622.71
2021-09-15,623.82
2021-09-16,627.37
2021-09-17,613.95
2021-09-20,605.29
2021-09-21,614.01
2021-09-22,621.03
2021-09-23,629.53
2021-09-24,629.47
2021-09-27,597.63
