Date,TTD
12/2/21,95.89
12/3/21,89.51
12/6/21,89.63
12/7/21,95.72
12/8/21,97.90
12/9/21,94.51
12/10/21,94.06
12/13/21,92.50
12/14/21,88.33
12/15/21,91.43
12/16/21,87.11
12/17/21,89.99
12/20/21,88.04
12/21/21,93.53
12/22/21,93.49
12/23/21,96.05
12/27/21,97.68
12/28/21,94.79
12/29/21,92.57
12/30/21,94.27
12/31/21,91.64
1/3/22,90.11
1/4/22,85.36
1/5/22,79.64
1/6/22,76.93
1/7/22,78.94
1/10/22,81.00
1/11/22,84.88
1/12/22,82.39
1/13/22,75.76
1/14/22,75.47
1/18/22,71.00
1/19/22,69.00
1/20/22,67.73
1/21/22,59.45
