Date,SWK
10/20/21,187.57
10/21/21,187.94
10/22/21,188.09
10/25/21,189.09
10/26/21,186.72
10/27/21,186.23
10/28/21,185.08
10/29/21,179.73
11/1/21,177.99
11/2/21,182.68
11/3/21,187.41
11/4/21,184.27
11/5/21,183.83
11/8/21,184.71
11/9/21,188.02
11/10/21,187.40
11/11/21,190.29
11/12/21,196.61
11/15/21,194.21
11/16/21,196.09
11/17/21,193.79
11/18/21,192.31
11/19/21,190.25
11/22/21,187.58
11/23/21,189.50
11/24/21,189.70
11/26/21,182.73
11/29/21,184.15
11/30/21,174.76
12/1/21,171.07
12/2/21,176.64
12/3/21,182.06
12/6/21,184.36
12/7/21,186.05
12/8/21,192.22
12/9/21,192.00
12/10/21,194.56
12/13/21,192.43
12/14/21,191.38
12/15/21,191.98
12/16/21,191.44
12/17/21,183.70
12/20/21,177.94
12/21/21,179.24
12/22/21,178.99
12/23/21,182.20
12/27/21,184.10
12/28/21,186.51
12/29/21,187.21
12/30/21,186.73
12/31/21,188.62
1/3/22,185.93
1/4/22,192.18
1/5/22,191.36
1/6/22,192.50
1/7/22,189.29
1/10/22,188.09
1/11/22,189.53
1/12/22,193.00
1/13/22,195.42
1/14/22,192.65
1/18/22,189.61
1/19/22,182.18
1/20/22,179.85
1/21/22,175.61
